timestamp,userId,location,device,loginStatus,ipAddress
2026-02-18T11:30:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-18T12:00:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-18T13:15:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-18T14:44:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-19T09:00:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-20T09:05:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-15T10:48:00Z,user_004,Bengaluru,Windows Laptop,success,14.142.111.34
2026-02-15T11:15:00Z,user_004,Bengaluru,Windows Laptop,success,14.142.111.34
2026-02-16T10:30:00Z,user_004,Bengaluru,Windows Laptop,success,14.142.111.34
2026-02-17T10:45:00Z,user_004,Bengaluru,Windows Laptop,success,14.142.111.34
2026-02-18T20:45:00Z,user_004,Tokyo,Android Tablet,success,61.122.8.202
2026-02-18T21:10:00Z,user_004,Tokyo,Android Tablet,failure,61.122.8.202
2026-02-19T10:00:00Z,user_004,Bengaluru,Windows Laptop,success,14.142.111.34
2026-02-20T10:15:00Z,user_004,Bengaluru,Windows Laptop,success,14.142.111.34
2026-02-16T22:55:00Z,user_005,Paris,MacBook,success,86.204.7.100
2026-02-16T23:22:00Z,user_005,Paris,MacBook,failure,86.204.7.100
2026-02-17T00:07:00Z,user_005,Berlin,Unknown Browser,success,35.198.3.71
2026-02-17T01:33:00Z,user_005,Berlin,Unknown Browser,success,35.198.3.71
2026-02-17T08:30:00Z,user_005,Paris,MacBook,success,86.204.7.100
2026-02-18T08:45:00Z,user_005,Paris,MacBook,success,86.204.7.100
2026-02-19T09:00:00Z,user_005,Paris,MacBook,success,86.204.7.100
2026-02-20T08:50:00Z,user_005,Paris,MacBook,success,86.204.7.100
2026-02-17T06:47:00Z,user_006,Toronto,Windows Laptop,success,142.93.28.77
2026-02-17T07:03:00Z,user_006,Toronto,Windows Laptop,success,142.93.28.77
2026-02-17T08:22:00Z,user_006,Toronto,Windows Laptop,success,142.93.28.77
2026-02-17T09:40:00Z,user_006,Toronto,Windows Laptop,success,142.93.28.77
2026-02-17T10:15:00Z,user_006,Toronto,Windows Laptop,success,142.93.28.77
2026-02-17T10:59:00Z,user_006,Sydney,Android Phone,success,152.78.44.17
2026-02-18T07:00:00Z,user_006,Toronto,Windows Laptop,success,142.93.28.77
2026-02-19T07:15:00Z,user_006,Toronto,Windows Laptop,success,142.93.28.77
2026-02-20T07:30:00Z,user_006,Toronto,Windows Laptop,success,142.93.28.77
2026-02-15T03:14:00Z,user_007,London,iOS Phone,success,86.12.4.89
2026-02-15T03:45:00Z,user_007,London,iOS Phone,failure,86.12.4.89
2026-02-15T04:00:00Z,user_007,London,iOS Phone,success,86.12.4.89
2026-02-16T08:30:00Z,user_007,London,iOS Phone,success,86.12.4.89
2026-02-17T08:35:00Z,user_007,London,iOS Phone,success,86.12.4.89
2026-02-18T02:30:00Z,user_007,Dubai,Android Phone,success,93.186.20.55
2026-02-18T02:55:00Z,user_007,Dubai,Android Phone,failure,93.186.20.55
2026-02-18T03:10:00Z,user_007,Dubai,Android Phone,success,93.186.20.55
2026-02-19T08:00:00Z,user_007,London,iOS Phone,success,86.12.4.89
2026-02-20T08:15:00Z,user_007,London,iOS Phone,success,86.12.4.89
